                                   Expected
      From         To  Frequency  Frequency
========== ========== ========== ==========
  -5.00000   -4.50000          3          0
  -4.50000   -4.00000          2          0
  -4.00000   -3.50000          3          0
  -3.50000   -3.00000          4          1
  -3.00000   -2.50000          5          6
  -2.50000   -2.00000         25         20
  -2.00000   -1.50000         39         53
  -1.50000   -1.00000         91        111
  -1.00000   -0.50000        177        181
  -0.50000    0.00000        259        231
   0.00000    0.50000        243        231
   0.50000    1.00000        175        181
   1.00000    1.50000        101        111
   1.50000    2.00000         47         53
   2.00000    2.50000         19         20
   2.50000    3.00000          8          6
   3.00000    3.50000          2          1
   3.50000    4.00000          3          0
   4.00000    4.50000          0          0
   4.50000    5.00000          2          0

Data outside histogram range is put in first or last bucket.
